화면,Depth2,사용자액션,트리거,API_Endpoint,HTTP_Method,요청데이터,응답데이터,성공처리,실패처리,복구경로,로딩상태,우선순위,접근성
로그인,로그인 폼,로그인 버튼 클릭,onClick,/api/auth/login,POST,"{email, password}","{accessToken, refreshToken, user}",홈으로 이동 + 토큰 저장,에러 Toast + 구체적 원인 표시,재시도 버튼 활성화 + 비밀번호 찾기 링크,버튼 Spinner,P0,Enter키 지원
로그인,로그인 폼,엔터키 입력,onKeyDown (Enter),/api/auth/login,POST,"{email, password}","{accessToken, refreshToken, user}",홈으로 이동,에러 Toast,재시도 버튼,버튼 Spinner,P0,포커스 유지
회원가입,정보 입력,이메일 중복 확인,onBlur,/api/auth/check-email,GET,"{email}","{available: boolean}",✅ 아이콘 표시,❌ 중복 경고 + 대안 제안,-,인라인 Spinner,P1,에러 메시지 스크린리더
회원가입,정보 입력,가입 완료 버튼,onClick,/api/auth/signup,POST,"{email, password, nickname}","{user}",완료 페이지 + 첫 충전 CTA,구체적 에러 메시지,문제 필드 하이라이트,버튼 Spinner,P1,
어카운트,잔액 카드,잔액 조회,onMount,/api/account/balance,GET,-,"{available, locked, total}",잔액 표시 (0원 시 충전 CTA),재시도 버튼,5초 후 자동 재시도,Skeleton Card,P0,금액 스크린리더
어카운트,잔액 카드,락 상세 보기,onClick,/api/account/locks,GET,-,"[{groupId, groupName, amount, lockedAt}]",BottomSheet + 모임별 상세,에러 Toast,닫기 후 재시도 가능,Skeleton List,P0,
어카운트,충전,충전 금액 선택,onClick,-,-,-,-,결제 수단 모달 표시,-,-,-,P0,금액 프리셋 키보드 접근
어카운트,충전,충전 요청,onClick,/api/account/charge,POST,"{amount, paymentMethod, returnUrl}","{transactionId, newBalance}",성공 Toast + 이전 화면 복귀,결제 실패 원인 + 재시도/다른 수단,재시도 버튼 + 토스페이 고객센터,전체 화면 로딩,P0,
어카운트,충전,충전 후 복귀,자동,/api/account/balance,GET,-,"{available}",returnUrl로 자동 이동 (가입 모달),복귀 실패 시 홈으로,수동 이동 링크 제공,-,P0,⭐ 이탈 방지
어카운트,거래내역,내역 조회,onMount,/api/account/transactions,GET,"{page, limit}","[{type, amount, description, createdAt}]",리스트 렌더링,빈 상태 + 첫 충전 CTA,-,Skeleton List,P1,
홈,온보딩,유저 상태 확인,onMount,/api/users/me,GET,-,"{hasGroups, balance, isNewUser}",상태별 UI 분기,-,-,Skeleton,P0,
홈,나의 모임,모임 목록 조회,onMount,/api/my-groups,GET,-,"[{id, name, thumbnail, newPosts, pendingVotes}]",카드 리스트 / 빈 상태,빈 상태 + 모임 찾기 CTA,-,Skeleton Cards,P0,
홈,나의 모임,모임 카드 클릭,onClick,-,-,-,-,해당 모임 피드로 이동,-,-,-,P0,전체 카드 클릭 가능
홈,온보딩,인기 모임 조회,onMount (신규),/api/groups/popular,GET,"{limit: 3}","[{id, name, thumbnail, fee}]",추천 카드 표시,-,-,Skeleton Cards,P0,
모임 탐색,검색,키워드 입력,onChange (debounce),/api/groups/search,GET,"{keyword, category}","[{id, name, thumbnail, fee, members}]",검색 결과 표시,결과 없음 + 다른 키워드 제안,-,Skeleton List,P1,300ms 디바운스
모임 탐색,필터,필터 적용,onClick,/api/groups/search,GET,"{category, minFee, maxFee, region}","[{groups}]",필터된 결과 표시,결과 없음 + 필터 초기화 CTA,-,Skeleton List,P2,
모임 생성,기본 정보,이미지 업로드,onChange,/api/upload/image,POST,"{file (multipart)}","{imageUrl}",미리보기 표시,업로드 실패 + 재시도/기본이미지,재시도 버튼 + 건너뛰기,Progress Bar,P1,드래그앤드롭
모임 생성,확인,모임 생성 버튼,onClick,/api/groups,POST,"{name, description, category, monthlyFee, maxMembers, imageUrl}","{groupId}",완료 페이지 이동,에러 Toast + 문제 필드 표시,이전 단계로 돌아가기,전체 화면 로딩,P0,
모임 상세-공개,모임 정보,정보 조회,onMount,/api/groups/:id,GET,-,"{name, description, category, fee, members, deposit, preview}",정보 렌더링,404 → 홈으로 + Toast,-,Skeleton Page,P0,
모임 상세-공개,가입 신청,가입하기 버튼,onClick,-,-,-,-,잔액 확인 → 모달 분기,-,-,-,P0,56px 터치 타겟
모임 상세-공개,가입 신청,잔액 확인,자동,/api/account/balance,GET,-,"{available}",충분 → 가입 모달 / 부족 → 충전 유도,-,-,모달 내 Spinner,P0,
모임 상세-공개,가입 신청,충전 후 가입,onClick,/api/groups/:id/join,POST,"{userId}","{membershipId, lockedAmount}",성공 Toast + 피드 이동,잔액 부족 재확인,충전 → 자동 복귀,버튼 Spinner,P0,⭐ returnUrl 활용
모임 상세-멤버,피드,피드 목록 조회,onMount,/api/groups/:id/posts,GET,"{page, limit}","[{id, author, content, images, likes, comments, createdAt, isPinned}]",피드 렌더링 / 빈 상태,빈 피드 + 첫 글 작성 CTA,-,Skeleton Cards,P0,Pull-to-Refresh
모임 상세-멤버,피드,새 글 작성,onClick,/api/groups/:id/posts,POST,"{content, imageUrls}","{postId}",피드 상단에 추가 + Toast,에러 Toast,임시 저장 복구,버튼 Spinner,P0,
모임 상세-멤버,피드,공지 등록 (CP),onClick,/api/groups/:id/announcements,POST,"{content, imageUrls}","{postId}",상단 핀 고정 + Toast,권한 없음 에러,-,버튼 Spinner,P0,CP 전용 UI 분기
모임 상세-멤버,피드,좋아요 토글,onClick,/api/posts/:id/like,POST,-,"{liked: boolean, count}",하트 애니메이션 (Optimistic),실패 시 롤백,-,없음 (Optimistic),P0,44px 터치 타겟
모임 상세-멤버,피드,댓글 작성,onClick,/api/posts/:id/comments,POST,"{content, parentId?}","{commentId}",댓글 추가 (Optimistic),에러 Toast + 롤백,재시도 버튼,없음,P0,
모임 상세-멤버,피드,이미지 업로드,onChange,/api/upload/image,POST,"{file}","{imageUrl}",미리보기 표시,업로드 실패,재시도 + 텍스트만 게시,Progress Bar,P1,다중 선택 지원
모임 상세-멤버,장부,장부 요약 조회,onMount,/api/groups/:id/ledger/summary,GET,-,"{totalBalance, thisMonth, lastMonth, transactions}",요약 카드 렌더링 / 빈 상태,빈 상태 + 첫 지출 안내,-,Skeleton Card,P0,
모임 상세-멤버,장부,Django 분석 요청,onMount,/api/groups/:id/ledger/analysis,GET,-,"{avgExpense, topCategory, trend, comparison}",분석 카드 렌더링,분석 실패 → 기본 통계만,기본값 표시,Skeleton Card,P0,Fallback 필수
모임 상세-멤버,장부,차트 데이터 조회,onMount,/api/groups/:id/ledger/chart,GET,"{type: line|pie}","{labels, datasets}",Recharts 렌더링,차트 실패 → 숫자 표시,Fallback UI,Skeleton Chart,P0,
모임 상세-멤버,장부,거래 내역 조회,onScroll,/api/groups/:id/ledger/transactions,GET,"{page, limit}","[{type, amount, description, voter, createdAt}]",타임라인 추가,로드 실패 Toast,재시도 버튼,Skeleton Items,P0,무한스크롤
모임 상세-멤버,투표,진행 중 투표 조회,onMount,/api/groups/:id/votes?status=active,GET,-,"[{id, title, amount, requester, yesCount, noCount, deadline}]",투표 카드 / 빈 상태,빈 상태 + CP 권한 안내,-,Skeleton Cards,P0,마감 임박 강조
모임 상세-멤버,투표,완료된 투표 조회,onTabChange,/api/groups/:id/votes?status=completed,GET,-,"[{id, title, result, ledgerEntryId}]",결과 카드 렌더링,-,-,Skeleton Cards,P0,장부 연결 링크
모임 상세-멤버,투표,지출 요청 (CP),onClick,/api/groups/:id/votes,POST,"{title, amount, description}","{voteId}",투표 생성 완료 Toast,권한 없음 에러 (멤버),권한 안내 모달,버튼 Spinner,P0,CP 전용
모임 상세-멤버,투표,찬성/반대 투표,onClick,/api/votes/:id/cast,POST,"{vote: yes|no}","{yesCount, noCount, myVote}",Progress Bar 갱신 (Optimistic),이미 투표함 / 마감됨 에러,상태 안내 모달,없음,P0,56px 버튼
모임 상세-멤버,투표,투표 상세 조회,onClick,/api/votes/:id,GET,-,"{title, amount, requester, voters, deadline, status}",상세 모달 표시,-,-,Skeleton Modal,P0,
모임 상세-멤버,멤버,멤버 목록 조회,onMount,/api/groups/:id/members,GET,-,"[{id, nickname, avatar, role, joinedAt}]",멤버 리스트 렌더링,-,-,Skeleton List,P1,
나의 모임,모임 리스트,목록 조회,onMount,/api/my-groups,GET,-,"[{id, name, role, thumbnail, status, newPosts, pendingVotes}]",카드 렌더링 / 빈 상태,빈 상태 + 모임 찾기 CTA,-,Skeleton Cards,P0,알림 뱃지 포함
나의 모임,모임 리스트,모임 진입,onClick,-,-,-,-,모임 피드로 이동,-,-,-,P0,전체 카드 클릭
탈퇴,탈퇴 확인,탈퇴 요청,onClick,/api/groups/:id/leave,POST,-,"{unlockedAmount, newBalance}",성공 Toast + 홈 이동,미납금 있음 에러,미납금 안내 + 납부 유도,버튼 Spinner,P1,확인 다이얼로그 필수
